Year,County,Region,Goats_Dairy,Goats_Meat
2021,LAMU,Semi-Arid (Low),6709,156279
2021,Machakos,Semi-Arid (Low),7596,560314
2021,Makueni,Semi-Arid,15396.44,854477.97
2021,Mandera,Arid,6864,4251023
2021,Marsabit,Arid,78,1208668
2021,Meru,Semi-Arid,38540,223130
2021,Migori,Non-ASAL,3500,493830
2021,Mombasa,Non-ASAL,262,24806
2021,Murang'a,Non-ASAL,69421,112860
2021,Nairobi,Non-ASAL,4084,21634
2021,Nakuru,Semi-Arid (Low),31452,248587
2021,Nandi,Non-ASAL,3811.050579,32816.35801
2021,NAROK,Semi-Arid (Low),4853.61288,995860.9521
2021,Nyamira,Non-ASAL,1287,41513
2021,Nyandarua,Non-ASAL,17280,65400
2021,Nyeri,Non-ASAL,58681,70475
2021,Samburu,Arid,2045,824074
2021,Siaya,Non-ASAL,8362.2,567956.03
2021,Taita Taveta,Semi-Arid,4158,307895.576
2021,Tana River,Arid,1126,883021
2021,Tharaka-Nithi,Semi-Arid,21236,220517
2021,Trans Nzoia,Non-ASAL,5811,37959
2021,Turkana,Arid,,6973731
2021,Uasin-Gishu,Non-ASAL,913,88864
2021,Vihiga,Non-ASAL,8360,4580
2021,Wajir,Arid,28,3190511
2021,West pokot,Semi-Arid,737,630789
2022,Uasin-Gishu,Non-ASAL,1014,90640
2022,Trans Nzoia,Non-ASAL,6196,39610
2022,West Pokot,Semi-Arid,884,681252.6
2022,Turkana,Arid,324,6197716
2022,Bungoma,Non-ASAL,6763,139933
2022,Busia,Non-ASAL,2560,102303
2022,Kakamega,Non-ASAL,9597,117830
2022,Vihiga,Non-ASAL,7880,4850
2022,Kilifi,Semi-Arid,3101,569365
2022,Mombasa,Non-ASAL,244,25309
2022,Kwale,Semi-Arid,3235,399980
2022,Taita Taveta,Semi-Arid,6070,346358
2022,Homa Bay,Non-ASAL,4844,516832
2022,Kisumu,Non-ASAL,3929.2,194995.9
2022,Migori,Non-ASAL,3508.63,567904.5
2022,Siaya,Non-ASAL,9198.94,376537.0524
2022,Lamu,Semi-Arid (Low),7302,160402
2022,Mandera,Arid,421,2426944
2022,Wajir,Arid,28,2871713
2022,Garissa,Arid,133,1924595
2022,Tana River,Arid,800,832200
2022,Kajiado,Semi-Arid,3232.04,1045809.5
2022,Machakos,Semi-Arid (Low),7765,585340
2022,Makueni,Semi-Arid,15780.1,897200.7
2022,Kitui,Semi-Arid,6113,1738310.86
2022,Kiambu,Non-ASAL,15260.08775,73552.9248
2022,Murang'a,Non-ASAL,74287,109256
2022,Laikipia,Semi-Arid,18186,518469
2022,Samburu,Arid,3393,741666
2022,Isiolo,Arid,1014.12,1009949.99
2022,Marsabit,Arid,102,836249
2022,Meru,Semi-Arid,48210,218090
2022,Tharaka-Nithi,Semi-Arid,21729,203798
2022,Nandi,Non-ASAL,3542,29356
2022,Nyandarua,Non-ASAL,18965,72040
2022,Nakuru,Semi-Arid (Low),40742,210363.286
2022,Nairobi,Non-ASAL,4332,22030
2022,Kisii,Non-ASAL,2376,62232.8016
2022,Bomet,Non-ASAL,81138,72507
2022,Narok,Semi-Arid (Low),4902.149009,995615.8446
2022,Nyamira,Non-ASAL,1301,41929
2022,Elgeyo-Marakwet,Semi-Arid (Low),1533,425125
2022,Kericho,Non-ASAL,1987.65,79555.35
2022,Baringo,Semi-Arid,6526,937081
2022,Nyeri,Non-ASAL,60429,71813
2022,Kirinyaga,Non-ASAL,23971,51307
2022,Embu,Non-ASAL,48708,329146
2023,Baringo,Semi-Arid,7743,1046051
2023,Bomet,Non-ASAL,82762,"73,594.00"
2023,Bungoma,Non-ASAL,6939,151910
2023,Busia,Non-ASAL,2586,106330
2023,Elgeyo-Marakwet,Semi-Arid (Low),2485,374383
2023,Embu,Non-ASAL,49927,337374
2023,Garissa,Arid,267,1924595
2023,Homa Bay,Non-ASAL,5147,552109
2023,Isiolo,Arid,1255,1090745
2023,Kajiado,Semi-Arid,3453,"1,033,419.00"
2023,Kakamega,Non-ASAL,10074,119461
2023,Kericho,Non-ASAL,2068,82737
2023,Kiambu,Non-ASAL,15182,70752
2023,Kilifi,Semi-Arid,3480,473290
2023,Kirinyaga,Non-ASAL,24337,52355
2023,Kisii,Non-ASAL,2473,64721
2023,Kisumu,Non-ASAL,4244,210596
2023,Kitui,Semi-Arid,7032,"1,999,058.00"
2023,Kwale,Semi-Arid,3584,472803
2023,Laikipia,Semi-Arid,18550,596240
2023,Lamu,Semi-Arid (Low),7222,1036154
2023,Machakos,Semi-Arid (Low),8143,614448
2023,Makueni,Semi-Arid,14992,852341
2023,Mandera,Arid,84,2537634
2023,Marsabit,Arid,374,627253
2023,Meru,Semi-Arid,38820,229880
2023,Migori,Non-ASAL,3579,584943
2023,Mombasa,Non-ASAL,237,25248
2023,Murang'a,Non-ASAL,79663,107095
2023,Nairobi,Non-ASAL,4412,21810
2023,Nakuru,Semi-Arid (Low),47593,298170
2023,Nandi,Non-ASAL,3606,31339
2023,Narok,Semi-Arid (Low),4927,956090
2023,Nyamira,Non-ASAL,1361,42767
2023,Nyandarua,Non-ASAL,20900,79500
2023,Nyeri,Non-ASAL,53195,73990
2023,Samburu,Arid,3732,606766
2023,Siaya,Non-ASAL,9769,402068
2023,Taita Taveta,Semi-Arid,5221,372333
2023,Tana River,Arid,1098,908620
2023,Tharaka-Nithi,Semi-Arid,22815,1140089
2023,Trans Nzoia,Non-ASAL,6527,39612
2023,Turkana,Arid,443,"8,060,906.00"
2023,Uasin-Gishu,Non-ASAL,913,89041
2023,Vihiga,Non-ASAL,8350,4800
2023,Wajir,Arid,32,"2,991,769.00"
2023,West Pokot,Semi-Arid,1753,818809
,,,,
,,,,
