year,county,Region,milk_kg,milk_unit_price_kshs,milk_total_value_kshs,chevon_kg,chevon_unit_price_kshs,chevon_total_value_kshs
2019,MACHAKOS,Semi-Arid (Low),1048728.64,55,57680075.2,1054746.6,478.75,504725500
2019,Makueni,Semi-Arid,833409.2025,60,50004552.15,2038421.658,440,896905529.5
2019,Mandera,Arid,373941.04,120,44872924.8,,,0
2019,Marsabit,Arid,1850475.24,80,148038019.2,2197867,400,879146800
2019,Meru,Semi-Arid,10566791.17,50,528339558.6,743103.36,450,334396512
2019,Migori,Non-ASAL,632790.32,57.5,36385443.4,1834116,443.75,773135800
2019,MOMBASA,Non-ASAL,79045.28,80,6323622.4,59056,400,23622400
2019,Murang'a,Non-ASAL,3039378,35,106378230,168460,450,75807000
2019,Nairobi,Non-ASAL,277427.28,50,13871364,51147,400,20458800
2019,Nakuru,Semi-Arid (Low),12019931.72,36.81818182,442552031.5,589391,444.0909091,260128060
2019,Nandi,Non-ASAL,7240000,35,253400000,101737,500,50868500
2019,NAROK,Semi-Arid (Low),3760268.34,35,131609391.9,1828521,400,731408400
2019,NYAMIRA,Non-ASAL,736005.6,40,29440224,68806.63,500,34403315
2019,Nyandarua,Non-ASAL,11863233.6,25,296580840,853309,400,341323600
2019,Nyeri,Non-ASAL,3753048.04,28,105085345.1,255239,420,107200380
2019,Samburu,Arid,552888,60,33173280,1531290,500,765645000
2019,Siaya,Non-ASAL,664089.6,65,43165824,658962,393.3333333,256027920
2019,Taita Taveta,Semi-Arid,840504.32,35,29417651.2,176340,480,84643200
2019,Tana River,Arid,1526962.4,80,122156992,330116,400,132046400
2019,Tharaka-Nithi,Semi-Arid,2090289.48,53.33333333,111482105.6,1229040,403.3333333,492290000
2019,Trans Nzoia,Non-ASAL,7407892.613,30,222236778.4,,400,0
2019,Turkana,Arid,3036531.039,60,182191862.4,1128121.94,600,676873164
2019,Uasin-Gishu,Non-ASAL,8203476.2,28,229697333.6,530232,400,212092800
2019,Vihiga,Non-ASAL,1237132.8,60,74227968,30420,425,12168000
2019,Wajir,Arid,3368901.04,100,336890104,1764000,400,705600000
2019,west pokot,Semi-Arid,400134.44,60,24008066.4,1600,400,640000
2020,Baringo,Semi-Arid,1629633.26,40,65185330.4,1290430,540,696832200
2020,Bomet,Non-ASAL,4781526.39,33,157790370.9,280756.8,480,134763264
