county,livestock_sub_category,livestock_name,livestock_age,production_system,male_livestock_count,female_livestock_count,total_livestock_count
BARINGO,Dairy Goat,Kenyan Alpine,1-2 years,Communal grazing,1393,5233,6626
BARINGO,Dairy Goat,Kenyan Alpine,1-2 years,Free Range,188,437,625
BARINGO,Dairy Goat,Kenyan Alpine,1-2 years,Pastoralism,296,766,1062
BARINGO,Dairy Goat,Kenyan Alpine,1-2 years,Ranching,3,4,7
BARINGO,Dairy Goat,Kenyan Alpine,1-2 years,Rotational grazing/paddocking,2,20,22
BARINGO,Dairy Goat,Kenyan Alpine,1-2 years,Semi zero grazing,40,84,124
BARINGO,Dairy Goat,Kenyan Alpine,1-2 years,Tethering,61,279,340
BARINGO,Dairy Goat,Kenyan Alpine,1-2 years,Zero grazing,3,18,21
BARINGO,Dairy Goat,Kenyan Alpine,2-4yrs,Communal grazing,1137,1975,3112
BARINGO,Dairy Goat,Kenyan Alpine,2-4yrs,Free Range,119,323,442
BARINGO,Dairy Goat,Kenyan Alpine,2-4yrs,Pastoralism,555,1738,2293
BARINGO,Dairy Goat,Kenyan Alpine,2-4yrs,Ranching,29,70,99
BARINGO,Dairy Goat,Kenyan Alpine,2-4yrs,Rotational grazing/paddocking,9,17,26
BARINGO,Dairy Goat,Kenyan Alpine,2-4yrs,Semi zero grazing,17,90,107
BARINGO,Dairy Goat,Kenyan Alpine,2-4yrs,Tethering,32,164,196
BARINGO,Dairy Goat,Kenyan Alpine,2-4yrs,Zero grazing,5,23,28
BARINGO,Dairy Goat,Kenyan Alpine,2-6 months,Communal grazing,261,378,639
BARINGO,Dairy Goat,Kenyan Alpine,2-6 months,Free Range,14,21,35
BARINGO,Dairy Goat,Kenyan Alpine,2-6 months,Pastoralism,194,390,584
BARINGO,Dairy Goat,Kenyan Alpine,2-6 months,Rotational grazing/paddocking,0,2,2
BARINGO,Dairy Goat,Kenyan Alpine,2-6 months,Semi zero grazing,5,21,26
BARINGO,Dairy Goat,Kenyan Alpine,2-6 months,Tethering,40,89,129
BARINGO,Dairy Goat,Kenyan Alpine,2-6 months,Zero grazing,5,10,15
BARINGO,Dairy Goat,Kenyan Alpine,3-8 weeks,Communal grazing,692,2190,2882
BARINGO,Dairy Goat,Kenyan Alpine,3-8 weeks,Free Range,27,33,60
BARINGO,Dairy Goat,Kenyan Alpine,3-8 weeks,Pastoralism,331,436,767
BARINGO,Dairy Goat,Kenyan Alpine,3-8 weeks,Ranching,2,6,8
BARINGO,Dairy Goat,Kenyan Alpine,3-8 weeks,Semi zero grazing,6,9,15
BARINGO,Dairy Goat,Kenyan Alpine,3-8 weeks,Tethering,6,8,14
BARINGO,Dairy Goat,Kenyan Alpine,3-8 weeks,Zero grazing,2,1,3
BARINGO,Dairy Goat,Kenyan Alpine,4yrs or older,Communal grazing,2108,5188,7296
BARINGO,Dairy Goat,Kenyan Alpine,4yrs or older,Free Range,189,599,788
BARINGO,Dairy Goat,Kenyan Alpine,4yrs or older,Pastoralism,561,1397,1958
BARINGO,Dairy Goat,Kenyan Alpine,4yrs or older,Semi zero grazing,2,19,21
BARINGO,Dairy Goat,Kenyan Alpine,4yrs or older,Tethering,6,32,38
BARINGO,Dairy Goat,Kenyan Alpine,4yrs or older,Zero grazing,10,25,35
BARINGO,Dairy Goat,Kenyan Alpine,6-12 months,Communal grazing,895,1294,2189
BARINGO,Dairy Goat,Kenyan Alpine,6-12 months,Free Range,85,241,326
BARINGO,Dairy Goat,Kenyan Alpine,6-12 months,Pastoralism,486,967,1453
BARINGO,Dairy Goat,Kenyan Alpine,6-12 months,Ranching,8,15,23
BARINGO,Dairy Goat,Kenyan Alpine,6-12 months,Semi zero grazing,9,32,41
BARINGO,Dairy Goat,Kenyan Alpine,6-12 months,Tethering,33,124,157
BARINGO,Dairy Goat,Kenyan Alpine,6-12 months,Zero grazing,4,11,15
BARINGO,Dairy Goat,Kenyan Alpine,Less than 2 months,Communal grazing,985,1992,2977
BARINGO,Dairy Goat,Kenyan Alpine,Less than 2 months,Free Range,58,75,133
BARINGO,Dairy Goat,Kenyan Alpine,Less than 2 months,Pastoralism,277,354,631
BARINGO,Dairy Goat,Kenyan Alpine,Less than 2 months,Rotational grazing/paddocking,2,2,4
BARINGO,Dairy Goat,Kenyan Alpine,Less than 2 months,Semi zero grazing,3,3,6
BARINGO,Dairy Goat,Kenyan Alpine,Less than 2 months,Tethering,18,39,57
BARINGO,Dairy Goat,Kenyan Alpine,Less than 2 months,Zero grazing,1,1,2
BARINGO,Dairy Goat,Kenyan Alpine,Less than 3 weeks,Communal grazing,536,519,1055
BARINGO,Dairy Goat,Kenyan Alpine,Less than 3 weeks,Free Range,3014,2,3016
BARINGO,Dairy Goat,Kenyan Alpine,Less than 3 weeks,Pastoralism,184,306,490
BARINGO,Dairy Goat,Kenyan Alpine,Less than 3 weeks,Rotational grazing/paddocking,1,1,2
BARINGO,Dairy Goat,Kenyan Alpine,Less than 3 weeks,Semi zero grazing,0,1,1
BARINGO,Dairy Goat,Kenyan Alpine,Less than 3 weeks,Tethering,2,5,7
BARINGO,Dairy Goat,Saanen,1-2 years,Free Range,99,125,224
BARINGO,Dairy Goat,Saanen,1-2 years,Pastoralism,2,3,5
BARINGO,Dairy Goat,Saanen,1-2 years,Rotational grazing/paddocking,4,7,11
BARINGO,Dairy Goat,Saanen,1-2 years,Semi zero grazing,6,16,22
BARINGO,Dairy Goat,Saanen,1-2 years,Tethering,6,43,49
BARINGO,Dairy Goat,Saanen,2-4yrs,Free Range,24,56,80
BARINGO,Dairy Goat,Saanen,2-4yrs,Ranching,4,2,6
BARINGO,Dairy Goat,Saanen,2-4yrs,Rotational grazing/paddocking,2,16,18
BARINGO,Dairy Goat,Saanen,2-4yrs,Semi zero grazing,2,8,10
BARINGO,Dairy Goat,Saanen,2-4yrs,Tethering,8,21,29
BARINGO,Dairy Goat,Saanen,2-4yrs,Zero grazing,2,11,13
BARINGO,Dairy Goat,Saanen,2-6 months,Free Range,19,139,158
BARINGO,Dairy Goat,Saanen,2-6 months,Ranching,1,1,2
BARINGO,Dairy Goat,Saanen,2-6 months,Rotational grazing/paddocking,2,3,5
BARINGO,Dairy Goat,Saanen,2-6 months,Tethering,0,3,3
BARINGO,Dairy Goat,Saanen,3-8 weeks,Rotational grazing/paddocking,2,2,4
BARINGO,Dairy Goat,Saanen,4yrs or older,Free Range,36,48,84
BARINGO,Dairy Goat,Saanen,4yrs or older,Ranching,1,4,5
BARINGO,Dairy Goat,Saanen,4yrs or older,Rotational grazing/paddocking,0,1,1
BARINGO,Dairy Goat,Saanen,4yrs or older,Tethering,0,2,2
BARINGO,Dairy Goat,Saanen,6-12 months,Free Range,68,161,229
BARINGO,Dairy Goat,Saanen,6-12 months,Semi zero grazing,0,2,2
BARINGO,Dairy Goat,Saanen,6-12 months,Tethering,0,6,6
BARINGO,Dairy Goat,Saanen,Less than 2 months,Free Range,23,34,57
BARINGO,Dairy Goat,Saanen,Less than 2 months,Ranching,3,0,3
BARINGO,Dairy Goat,Saanen,Less than 2 months,Rotational grazing/paddocking,2,3,5
BARINGO,Dairy Goat,Saanen,Less than 2 months,Semi zero grazing,2,3,5
BARINGO,Dairy Goat,Saanen,Less than 2 months,Tethering,1,2,3
BARINGO,Dairy Goat,Saanen,Less than 3 weeks,Free Range,0,3,3
BARINGO,Dairy Goat,Toggen burg,1-2 years,Communal grazing,1,8,9
BARINGO,Dairy Goat,Toggen burg,1-2 years,Free Range,76,270,346
BARINGO,Dairy Goat,Toggen burg,1-2 years,Pastoralism,947,1844,2791
BARINGO,Dairy Goat,Toggen burg,1-2 years,Rotational grazing/paddocking,4,12,16
BARINGO,Dairy Goat,Toggen burg,1-2 years,Semi zero grazing,12,57,69
BARINGO,Dairy Goat,Toggen burg,1-2 years,Tethering,37,273,310
BARINGO,Dairy Goat,Toggen burg,1-2 years,Zero grazing,6,10,16
BARINGO,Dairy Goat,Toggen burg,2-4yrs,Communal grazing,4,6,10
BARINGO,Dairy Goat,Toggen burg,2-4yrs,Free Range,239,686,925
BARINGO,Dairy Goat,Toggen burg,2-4yrs,Pastoralism,1143,4784,5927
BARINGO,Dairy Goat,Toggen burg,2-4yrs,Ranching,1,2,3
BARINGO,Dairy Goat,Toggen burg,2-4yrs,Rotational grazing/paddocking,8,25,33
BARINGO,Dairy Goat,Toggen burg,2-4yrs,Semi zero grazing,14,75,89
BARINGO,Dairy Goat,Toggen burg,2-4yrs,Tethering,35,181,216
BARINGO,Dairy Goat,Toggen burg,2-4yrs,Zero grazing,6,27,33
BARINGO,Dairy Goat,Toggen burg,2-6 months,Communal grazing,5,13,18
BARINGO,Dairy Goat,Toggen burg,2-6 months,Free Range,14,14,28
BARINGO,Dairy Goat,Toggen burg,2-6 months,Pastoralism,665,1190,1855
BARINGO,Dairy Goat,Toggen burg,2-6 months,Rotational grazing/paddocking,3,4,7
BARINGO,Dairy Goat,Toggen burg,2-6 months,Semi zero grazing,11,16,27
BARINGO,Dairy Goat,Toggen burg,2-6 months,Tethering,32,62,94
BARINGO,Dairy Goat,Toggen burg,2-6 months,Zero grazing,6,5,11
BARINGO,Dairy Goat,Toggen burg,3-8 weeks,Communal grazing,25,31,56
BARINGO,Dairy Goat,Toggen burg,3-8 weeks,Free Range,4,3,7
BARINGO,Dairy Goat,Toggen burg,3-8 weeks,Pastoralism,191,291,482
BARINGO,Dairy Goat,Toggen burg,3-8 weeks,Rotational grazing/paddocking,3,2,5
BARINGO,Dairy Goat,Toggen burg,3-8 weeks,Semi zero grazing,3,6,9
BARINGO,Dairy Goat,Toggen burg,3-8 weeks,Tethering,8,13,21
BARINGO,Dairy Goat,Toggen burg,3-8 weeks,Zero grazing,1,0,1
BARINGO,Dairy Goat,Toggen burg,4yrs or older,Communal grazing,30,62,92
BARINGO,Dairy Goat,Toggen burg,4yrs or older,Free Range,22,189,211
BARINGO,Dairy Goat,Toggen burg,4yrs or older,Pastoralism,1740,6852,8592
BARINGO,Dairy Goat,Toggen burg,4yrs or older,Rotational grazing/paddocking,0,3,3
BARINGO,Dairy Goat,Toggen burg,4yrs or older,Semi zero grazing,10,24,34
BARINGO,Dairy Goat,Toggen burg,4yrs or older,Tethering,3,30,33
BARINGO,Dairy Goat,Toggen burg,4yrs or older,Zero grazing,6,20,26
BARINGO,Dairy Goat,Toggen burg,6-12 months,Communal grazing,2,28,30
BARINGO,Dairy Goat,Toggen burg,6-12 months,Free Range,39,97,136
BARINGO,Dairy Goat,Toggen burg,6-12 months,Pastoralism,849,1617,2466
BARINGO,Dairy Goat,Toggen burg,6-12 months,Rotational grazing/paddocking,0,5,5
BARINGO,Dairy Goat,Toggen burg,6-12 months,Semi zero grazing,7,13,20
BARINGO,Dairy Goat,Toggen burg,6-12 months,Tethering,27,96,123
BARINGO,Dairy Goat,Toggen burg,6-12 months,Zero grazing,4,7,11
BARINGO,Dairy Goat,Toggen burg,Less than 2 months,Communal grazing,3,6,9
BARINGO,Dairy Goat,Toggen burg,Less than 2 months,Free Range,21,61,82
BARINGO,Dairy Goat,Toggen burg,Less than 2 months,Pastoralism,401,879,1280
BARINGO,Dairy Goat,Toggen burg,Less than 2 months,Rotational grazing/paddocking,0,1,1
BARINGO,Dairy Goat,Toggen burg,Less than 2 months,Tethering,13,10,23
BARINGO,Dairy Goat,Toggen burg,Less than 2 months,Zero grazing,2,0,2
BARINGO,Dairy Goat,Toggen burg,Less than 3 weeks,Pastoralism,17,15,32
BARINGO,Dairy Goat,Toggen burg,Less than 3 weeks,Rotational grazing/paddocking,0,2,2
BARINGO,Meat goats (Chevon),Boer,1-2 years,Communal grazing,52,98,150
BARINGO,Meat goats (Chevon),Boer,1-2 years,Free Range,32,66,98
BARINGO,Meat goats (Chevon),Boer,1-2 years,Pastoralism,5,12,17
BARINGO,Meat goats (Chevon),Boer,1-2 years,Ranching,5,16,21
BARINGO,Meat goats (Chevon),Boer,1-2 years,Rotational grazing/paddocking,1,1,2
BARINGO,Meat goats (Chevon),Boer,1-2 years,Semi zero grazing,0,3,3
BARINGO,Meat goats (Chevon),Boer,1-2 years,Tethering,11,31,42
BARINGO,Meat goats (Chevon),Boer,2-4yrs,Communal grazing,44,108,152
BARINGO,Meat goats (Chevon),Boer,2-4yrs,Free Range,12,41,53
BARINGO,Meat goats (Chevon),Boer,2-4yrs,Ranching,4,15,19
BARINGO,Meat goats (Chevon),Boer,2-4yrs,Semi zero grazing,1,11,12
BARINGO,Meat goats (Chevon),Boer,2-4yrs,Tethering,9,25,34
BARINGO,Meat goats (Chevon),Boer,2-4yrs,Zero grazing,2,2,4
BARINGO,Meat goats (Chevon),Boer,2-6 months,Communal grazing,16,57,73
BARINGO,Meat goats (Chevon),Boer,2-6 months,Free Range,7,28,35
BARINGO,Meat goats (Chevon),Boer,2-6 months,Pastoralism,12,16,28
BARINGO,Meat goats (Chevon),Boer,2-6 months,Ranching,0,7,7
BARINGO,Meat goats (Chevon),Boer,2-6 months,Semi zero grazing,4,2,6
BARINGO,Meat goats (Chevon),Boer,2-6 months,Tethering,3,2,5
BARINGO,Meat goats (Chevon),Boer,3-8 weeks,Free Range,9,12,21
BARINGO,Meat goats (Chevon),Boer,3-8 weeks,Ranching,3,2,5
BARINGO,Meat goats (Chevon),Boer,4yrs or older,Communal grazing,6,22,28
BARINGO,Meat goats (Chevon),Boer,4yrs or older,Free Range,3,20,23
BARINGO,Meat goats (Chevon),Boer,4yrs or older,Pastoralism,8,31,39
BARINGO,Meat goats (Chevon),Boer,4yrs or older,Rotational grazing/paddocking,6,25,31
BARINGO,Meat goats (Chevon),Boer,6-12 months,Communal grazing,0,2,2
BARINGO,Meat goats (Chevon),Boer,6-12 months,Free Range,12,21,33
BARINGO,Meat goats (Chevon),Boer,6-12 months,Ranching,5,4,9
BARINGO,Meat goats (Chevon),Boer,6-12 months,Semi zero grazing,3,1,4
BARINGO,Meat goats (Chevon),Boer,6-12 months,Tethering,0,8,8
BARINGO,Meat goats (Chevon),Boer,Less than 2 months,Free Range,0,2,2
BARINGO,Meat goats (Chevon),Boer,Less than 2 months,Ranching,0,2,2
BARINGO,Meat goats (Chevon),Galla,1-2 years,Communal grazing,1193,2688,3881
BARINGO,Meat goats (Chevon),Galla,1-2 years,Free Range,573,1586,2159
BARINGO,Meat goats (Chevon),Galla,1-2 years,Pastoralism,10,39,49
BARINGO,Meat goats (Chevon),Galla,1-2 years,Ranching,48,76,124
BARINGO,Meat goats (Chevon),Galla,1-2 years,Rotational grazing/paddocking,4,44,48
BARINGO,Meat goats (Chevon),Galla,1-2 years,Semi zero grazing,39,85,124
BARINGO,Meat goats (Chevon),Galla,1-2 years,Tethering,40,178,218
BARINGO,Meat goats (Chevon),Galla,1-2 years,Zero grazing,2,10,12
BARINGO,Meat goats (Chevon),Galla,2-4yrs,Communal grazing,1357,3184,4541
BARINGO,Meat goats (Chevon),Galla,2-4yrs,Free Range,798,2202,3000
BARINGO,Meat goats (Chevon),Galla,2-4yrs,Pastoralism,18,87,105
BARINGO,Meat goats (Chevon),Galla,2-4yrs,Ranching,61,74,135
BARINGO,Meat goats (Chevon),Galla,2-4yrs,Rotational grazing/paddocking,55,104,159
BARINGO,Meat goats (Chevon),Galla,2-4yrs,Semi zero grazing,14,52,66
BARINGO,Meat goats (Chevon),Galla,2-4yrs,Tethering,16,149,165
BARINGO,Meat goats (Chevon),Galla,2-4yrs,Zero grazing,4,16,20
BARINGO,Meat goats (Chevon),Galla,2-6 months,Communal grazing,464,769,1233
BARINGO,Meat goats (Chevon),Galla,2-6 months,Free Range,402,806,1208
BARINGO,Meat goats (Chevon),Galla,2-6 months,Pastoralism,10,21,31
BARINGO,Meat goats (Chevon),Galla,2-6 months,Ranching,16,31,47
BARINGO,Meat goats (Chevon),Galla,2-6 months,Rotational grazing/paddocking,15,22,37
BARINGO,Meat goats (Chevon),Galla,2-6 months,Semi zero grazing,22,52,74
BARINGO,Meat goats (Chevon),Galla,2-6 months,Tethering,25,66,91
BARINGO,Meat goats (Chevon),Galla,2-6 months,Zero grazing,0,3,3
BARINGO,Meat goats (Chevon),Galla,3-8 weeks,Communal grazing,206,306,512
BARINGO,Meat goats (Chevon),Galla,3-8 weeks,Free Range,73,114,187
BARINGO,Meat goats (Chevon),Galla,3-8 weeks,Pastoralism,5,8,13
BARINGO,Meat goats (Chevon),Galla,3-8 weeks,Ranching,4,9,13
BARINGO,Meat goats (Chevon),Galla,3-8 weeks,Rotational grazing/paddocking,8,7,15
BARINGO,Meat goats (Chevon),Galla,3-8 weeks,Semi zero grazing,6,3,9
BARINGO,Meat goats (Chevon),Galla,4yrs or older,Communal grazing,2768,4421,7189
BARINGO,Meat goats (Chevon),Galla,4yrs or older,Free Range,304,1171,1475
BARINGO,Meat goats (Chevon),Galla,4yrs or older,Pastoralism,15,23,38
BARINGO,Meat goats (Chevon),Galla,4yrs or older,Ranching,28,60,88
BARINGO,Meat goats (Chevon),Galla,4yrs or older,Rotational grazing/paddocking,0,3,3
BARINGO,Meat goats (Chevon),Galla,4yrs or older,Semi zero grazing,245,832,1077
BARINGO,Meat goats (Chevon),Galla,4yrs or older,Tethering,5,38,43
BARINGO,Meat goats (Chevon),Galla,6-12 months,Communal grazing,701,925,1626
BARINGO,Meat goats (Chevon),Galla,6-12 months,Free Range,253,771,1024
BARINGO,Meat goats (Chevon),Galla,6-12 months,Pastoralism,1,8,9
BARINGO,Meat goats (Chevon),Galla,6-12 months,Ranching,5,15,20
BARINGO,Meat goats (Chevon),Galla,6-12 months,Rotational grazing/paddocking,4,29,33
BARINGO,Meat goats (Chevon),Galla,6-12 months,Semi zero grazing,84,149,233
BARINGO,Meat goats (Chevon),Galla,6-12 months,Tethering,5,33,38
BARINGO,Meat goats (Chevon),Galla,6-12 months,Zero grazing,1,0,1
BARINGO,Meat goats (Chevon),Galla,Less than 2 months,Communal grazing,350,538,888
BARINGO,Meat goats (Chevon),Galla,Less than 2 months,Free Range,83,169,252
BARINGO,Meat goats (Chevon),Galla,Less than 2 months,Pastoralism,3,10,13
BARINGO,Meat goats (Chevon),Galla,Less than 2 months,Ranching,2,1,3
BARINGO,Meat goats (Chevon),Galla,Less than 2 months,Rotational grazing/paddocking,5,7,12
BARINGO,Meat goats (Chevon),Galla,Less than 2 months,Semi zero grazing,10,14,24
BARINGO,Meat goats (Chevon),Galla,Less than 2 months,Tethering,1,4,5
BARINGO,Meat goats (Chevon),Galla,Less than 3 weeks,Communal grazing,161,330,491
BARINGO,Meat goats (Chevon),Galla,Less than 3 weeks,Free Range,54,94,148
BARINGO,Meat goats (Chevon),Galla,Less than 3 weeks,Pastoralism,2,2,4
BARINGO,Meat goats (Chevon),Galla,Less than 3 weeks,Ranching,5,3,8
BARINGO,Meat goats (Chevon),Galla,Less than 3 weeks,Rotational grazing/paddocking,3,4,7
BARINGO,Meat goats (Chevon),Meat g,1-2 years,Communal grazing,760,1965,2725
BARINGO,Meat goats (Chevon),Meat g,1-2 years,Free Range,1407,2698,4105
BARINGO,Meat goats (Chevon),Meat g,1-2 years,Pastoralism,148,289,437
BARINGO,Meat goats (Chevon),Meat g,1-2 years,Rotational grazing/paddocking,2,8,10
BARINGO,Meat goats (Chevon),Meat g,1-2 years,Semi zero grazing,9,34,43
BARINGO,Meat goats (Chevon),Meat g,1-2 years,Tethering,10,27,37
BARINGO,Meat goats (Chevon),Meat g,2-4yrs,Communal grazing,1996,4283,6279
BARINGO,Meat goats (Chevon),Meat g,2-4yrs,Free Range,1173,2481,3654
BARINGO,Meat goats (Chevon),Meat g,2-4yrs,Pastoralism,214,415,629
BARINGO,Meat goats (Chevon),Meat g,2-4yrs,Rotational grazing/paddocking,0,2,2
BARINGO,Meat goats (Chevon),Meat g,2-4yrs,Semi zero grazing,4,29,33
BARINGO,Meat goats (Chevon),Meat g,2-4yrs,Tethering,9,22,31
BARINGO,Meat goats (Chevon),Meat g,2-6 months,Communal grazing,125,232,357
BARINGO,Meat goats (Chevon),Meat g,2-6 months,Free Range,866,1116,1982
BARINGO,Meat goats (Chevon),Meat g,2-6 months,Pastoralism,200,227,427
BARINGO,Meat goats (Chevon),Meat g,2-6 months,Semi zero grazing,8,12,20
BARINGO,Meat goats (Chevon),Meat g,2-6 months,Tethering,1,4,5
BARINGO,Meat goats (Chevon),Meat g,3-8 weeks,Communal grazing,28,37,65
BARINGO,Meat goats (Chevon),Meat g,3-8 weeks,Free Range,212,331,543
BARINGO,Meat goats (Chevon),Meat g,3-8 weeks,Pastoralism,105,187,292
BARINGO,Meat goats (Chevon),Meat g,4yrs or older,Communal grazing,361,783,1144
BARINGO,Meat goats (Chevon),Meat g,4yrs or older,Free Range,786,2069,2855
BARINGO,Meat goats (Chevon),Meat g,4yrs or older,Pastoralism,118,652,770
BARINGO,Meat goats (Chevon),Meat g,4yrs or older,Rotational grazing/paddocking,2,20,22
BARINGO,Meat goats (Chevon),Meat g,4yrs or older,Semi zero grazing,2,5,7
BARINGO,Meat goats (Chevon),Meat g,4yrs or older,Tethering,2,28,30
BARINGO,Meat goats (Chevon),Meat g,6-12 months,Communal grazing,119,275,394
BARINGO,Meat goats (Chevon),Meat g,6-12 months,Free Range,989,1647,2636
BARINGO,Meat goats (Chevon),Meat g,6-12 months,Pastoralism,206,257,463
BARINGO,Meat goats (Chevon),Meat g,6-12 months,Rotational grazing/paddocking,1,2,3
BARINGO,Meat goats (Chevon),Meat g,6-12 months,Semi zero grazing,10,15,25
BARINGO,Meat goats (Chevon),Meat g,6-12 months,Tethering,3,10,13
BARINGO,Meat goats (Chevon),Meat g,Less than 2 months,Communal grazing,1,6,7
BARINGO,Meat goats (Chevon),Meat g,Less than 2 months,Free Range,554,843,1397
BARINGO,Meat goats (Chevon),Meat g,Less than 2 months,Pastoralism,124,126,250
BARINGO,Meat goats (Chevon),Meat g,Less than 2 months,Semi zero grazing,0,2,2
BARINGO,Meat goats (Chevon),Meat g,Less than 2 months,Tethering,1,1,2
BARINGO,Meat goats (Chevon),Meat g,Less than 3 weeks,Communal grazing,5,8,13
BARINGO,Meat goats (Chevon),Meat g,Less than 3 weeks,Free Range,58,48,106
BARINGO,Meat goats (Chevon),Meat g,Less than 3 weeks,Pastoralism,21,24,45
BARINGO,Meat goats (Chevon),Other Goat,1-2 years,Communal grazing,2425,4951,7376
BARINGO,Meat goats (Chevon),Other Goat,1-2 years,Free Range,3100,6455,9555
BARINGO,Meat goats (Chevon),Other Goat,1-2 years,Pastoralism,622,2127,2749
BARINGO,Meat goats (Chevon),Other Goat,1-2 years,Ranching,20,39,59
BARINGO,Meat goats (Chevon),Other Goat,1-2 years,Rotational grazing/paddocking,6,42,48
BARINGO,Meat goats (Chevon),Other Goat,1-2 years,Semi zero grazing,26,69,95
BARINGO,Meat goats (Chevon),Other Goat,1-2 years,Tethering,51,248,299
BARINGO,Meat goats (Chevon),Other Goat,1-2 years,Zero grazing,0,1,1
BARINGO,Meat goats (Chevon),Other Goat,2-4yrs,Communal grazing,3058,8540,11598
BARINGO,Meat goats (Chevon),Other Goat,2-4yrs,Free Range,3559,9648,13207
BARINGO,Meat goats (Chevon),Other Goat,2-4yrs,Pastoralism,1065,3934,4999
BARINGO,Meat goats (Chevon),Other Goat,2-4yrs,Ranching,10,20,30
BARINGO,Meat goats (Chevon),Other Goat,2-4yrs,Rotational grazing/paddocking,23,85,108
BARINGO,Meat goats (Chevon),Other Goat,2-4yrs,Semi zero grazing,10,33,43
BARINGO,Meat goats (Chevon),Other Goat,2-4yrs,Tethering,72,282,354
BARINGO,Meat goats (Chevon),Other Goat,2-4yrs,Zero grazing,1,11,12
BARINGO,Meat goats (Chevon),Other Goat,2-6 months,Communal grazing,1976,2818,4794
BARINGO,Meat goats (Chevon),Other Goat,2-6 months,Free Range,1402,1952,3354
BARINGO,Meat goats (Chevon),Other Goat,2-6 months,Pastoralism,88,115,203
BARINGO,Meat goats (Chevon),Other Goat,2-6 months,Rotational grazing/paddocking,9,7,16
BARINGO,Meat goats (Chevon),Other Goat,2-6 months,Semi zero grazing,1,5,6
BARINGO,Meat goats (Chevon),Other Goat,2-6 months,Tethering,41,73,114
BARINGO,Meat goats (Chevon),Other Goat,2-6 months,Zero grazing,0,2,2
BARINGO,Meat goats (Chevon),Other Goat,3-8 weeks,Communal grazing,1240,1971,3211
BARINGO,Meat goats (Chevon),Other Goat,3-8 weeks,Free Range,267,278,545
BARINGO,Meat goats (Chevon),Other Goat,3-8 weeks,Pastoralism,54,69,123
BARINGO,Meat goats (Chevon),Other Goat,3-8 weeks,Ranching,3,2,5
BARINGO,Meat goats (Chevon),Other Goat,3-8 weeks,Tethering,1,1,2
BARINGO,Meat goats (Chevon),Other Goat,4yrs or older,Communal grazing,1996,6442,8438
BARINGO,Meat goats (Chevon),Other Goat,4yrs or older,Free Range,4467,10547,15014
BARINGO,Meat goats (Chevon),Other Goat,4yrs or older,Pastoralism,332,2840,3172
BARINGO,Meat goats (Chevon),Other Goat,4yrs or older,Ranching,19,38,57
BARINGO,Meat goats (Chevon),Other Goat,4yrs or older,Rotational grazing/paddocking,9,124,133
BARINGO,Meat goats (Chevon),Other Goat,4yrs or older,Semi zero grazing,8,32,40
BARINGO,Meat goats (Chevon),Other Goat,4yrs or older,Tethering,35,99,134
BARINGO,Meat goats (Chevon),Other Goat,4yrs or older,Zero grazing,2,5,7
BARINGO,Meat goats (Chevon),Other Goat,6-12 months,Communal grazing,1959,2914,4873
BARINGO,Meat goats (Chevon),Other Goat,6-12 months,Free Range,1171,1665,2836
BARINGO,Meat goats (Chevon),Other Goat,6-12 months,Pastoralism,94,170,264
BARINGO,Meat goats (Chevon),Other Goat,6-12 months,Ranching,2,1,3
BARINGO,Meat goats (Chevon),Other Goat,6-12 months,Rotational grazing/paddocking,16,39,55
BARINGO,Meat goats (Chevon),Other Goat,6-12 months,Semi zero grazing,6,10,16
BARINGO,Meat goats (Chevon),Other Goat,6-12 months,Tethering,25,55,80
BARINGO,Meat goats (Chevon),Other Goat,6-12 months,Zero grazing,5,6,11
BARINGO,Meat goats (Chevon),Other Goat,Less than 2 months,Communal grazing,1720,2570,4290
BARINGO,Meat goats (Chevon),Other Goat,Less than 2 months,Free Range,590,735,1325
BARINGO,Meat goats (Chevon),Other Goat,Less than 2 months,Pastoralism,23,80,103
BARINGO,Meat goats (Chevon),Other Goat,Less than 2 months,Ranching,0,2,2
BARINGO,Meat goats (Chevon),Other Goat,Less than 2 months,Tethering,8,12,20
BARINGO,Meat goats (Chevon),Other Goat,Less than 3 weeks,Communal grazing,299,436,735
BARINGO,Meat goats (Chevon),Other Goat,Less than 3 weeks,Free Range,43,72,115
BARINGO,Meat goats (Chevon),Other Goat,Less than 3 weeks,Pastoralism,15,13,28
BARINGO,Meat goats (Chevon),Other Goat,Less than 3 weeks,Tethering,2,1,3
BARINGO,Meat goats (Chevon),Small East African Goats,1-2 years,Communal grazing,14444,25176,39620
BARINGO,Meat goats (Chevon),Small East African Goats,1-2 years,Free Range,15383,31973,47356
BARINGO,Meat goats (Chevon),Small East African Goats,1-2 years,Pastoralism,7586,17148,24734
BARINGO,Meat goats (Chevon),Small East African Goats,1-2 years,Ranching,18,47,65
BARINGO,Meat goats (Chevon),Small East African Goats,1-2 years,Rotational grazing/paddocking,306,618,924
BARINGO,Meat goats (Chevon),Small East African Goats,1-2 years,Semi zero grazing,195,460,655
BARINGO,Meat goats (Chevon),Small East African Goats,1-2 years,Tethering,265,934,1199
BARINGO,Meat goats (Chevon),Small East African Goats,1-2 years,Zero grazing,25,61,86
BARINGO,Meat goats (Chevon),Small East African Goats,2-4yrs,Communal grazing,15515,35808,51323
BARINGO,Meat goats (Chevon),Small East African Goats,2-4yrs,Free Range,19139,56814,75953
